X,Y
0,67.1041
1,66.1041
2,65.1041
3,64.1041
4,63.1041
5,62.1041
6,61.1041
7,60.1041
8,59.1041
9,58.1041
10,57.1041
11,56.1041
12,55.1041
13,54.1041
14,53.1041
15,52.1041
16,51.1041
17,50.1041
18,49.1041
19,48.1041
20,47.1041
21,46.1042
22,45.1042
23,44.1043
24,43.1045
25,42.1048
26,41.1053
27,40.1062
28,39.1075
29,38.1094
30,37.1122
31,36.1163
32,35.1219
33,34.1295
34,33.1397
35,32.1531
36,31.1703
37,30.1922
38,29.2196
39,28.2534
40,27.2947
41,26.3443
42,25.4034
43,24.4732
44,23.5546
45,22.6489
46,21.7571
47,20.8803
48,20.0195
49,19.1758
50,18.35
51,17.543
52,16.7557
53,15.9887
54,15.2426
55,14.518
56,13.8153
57,13.1349
58,12.4771
59,11.8419
60,11.2296
61,10.6401
62,10.0733
63,9.52914
64,9.00733
65,8.5076
66,8.02963
67,7.57301
68,7.13731
69,6.72205
70,6.3267
71,5.95072
72,5.59353
73,5.25454
74,4.93314
75,4.62871
76,4.34062
77,4.06824
78,3.81093
79,3.56806
80,3.33901
81,3.12316
82,2.91991
83,2.72866
84,2.54882
85,2.37984
86,2.22116
87,2.07225
88,1.93259
89,1.80169
90,1.67906
91,1.56425
92,1.45681
93,1.35633
94,1.2624
95,1.17463
96,1.09266
97,1.01613
98,0.944722
99,0.878114
100,0.816009
101,0.758123
102,0.70419
103,0.653957
104,0.607186
105,0.563652
106,0.523144
107,0.485463
108,0.450421
109,0.417842
110,0.387561
111,0.359423
112,0.333282
113,0.309003
114,0.286457
115,0.265525
116,0.246096
117,0.228065
118,0.211334
119,0.195813
120,0.181416
121,0.168064
122,0.155684
123,0.144205
124,0.133563
125,0.1237
126,0.114559
127,0.106088
128,0.0982382
129,0.0909659
130,0.0842288
131,0.077988
132,0.0722075
133,0.0668537
134,0.0618955
135,0.057304
136,0.0530524
137,0.0491156
138,0.0454706
139,0.0420959
140,0.0389716
141,0.0360793
142,0.0334017
143,0.0309231
144,0.0286287
145,0.0265049
146,0.024539
147,0.0227194
148,0.0210351
149,0.0194761
150,0.0180331
151,0.0166975
152,0.0154612
153,0.014317
154,0.0132579
155,0.0122775
156,0.0113701
157,0.0105302
158,0.00975272
159,0.00903304
160,0.00836684
161,0.00775014
162,0.00717924
163,0.00665072
164,0.00616143
165,0.00570844
166,0.00528904
167,0.00490073
168,0.00454118
169,0.00420826
170,0.00389998
171,0.0036145
172,0.00335012
173,0.00310528
174,0.00287852
175,0.00266849
176,0.00247395
177,0.00229375
178,0.00212682
179,0.00197217
180,0.0018289
181,0.00169616
182,0.00157316
183,0.00145919
184,0.00135357
185,0.0012557
186,0.00116499
187,0.00108091
